,depth_class,AI,MAP,MAT,PS_Bio15,TS_Bio4,TAR_Bio7,MaxTWM_Bio5,MinTCM_Bio6,MMTD_Bio2,PWM_Bio13,PDM_Bio14,Elevation,Slope,Mean_pH,Moisture,CEC,Bulk.Density,RootDepth,GPP,Sand.content,Clay.content,Silt.content,Bedrock,Shannon_EVI,LAI,AbovegroundBiomass,BelowgroundBiomass,CUE
611,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.2,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.581397277
612,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.99,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.559540483
613,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,28.9,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.554542855
614,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.97,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.56680469
615,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,29.94,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.581955428
616,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,28.39,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.581837368
617,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,28.27,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.565028376
618,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.77,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.547837013
619,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.7,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.579012692
620,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,28.12,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.298051549
621,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.12,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.564554023
622,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,25.8,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.568944523
623,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,24.76,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.461109469
624,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,25.91,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.565313863
625,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,25.42,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.426465819
626,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,24.71,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.403178425
627,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,39.66,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.588358007
